"name","height","mass","hair_color","skin_color","eye_color","birth_year","gender","homeworld","species"
"Luke Skywalker",172,77,"blond","fair","blue",19,"male","Tatooine","Human"
"Darth Vader",202,136,"none","white","yellow",41.9,"male","Tatooine","Human"
"Leia Organa",150,49,"brown","light","brown",19,"female","Alderaan","Human"
"Owen Lars",178,120,"brown, grey","light","blue",52,"male","Tatooine","Human"
"Beru Whitesun lars",165,75,"brown","light","blue",47,"female","Tatooine","Human"
"Biggs Darklighter",183,84,"black","light","brown",24,"male","Tatooine","Human"
"Obi-Wan Kenobi",182,77,"auburn, white","fair","blue-gray",57,"male","Stewjon","Human"
"Anakin Skywalker",188,84,"blond","fair","blue",41.9,"male","Tatooine","Human"
"Chewbacca",228,112,"brown","unknown","blue",200,"male","Kashyyyk","Wookiee"
"Han Solo",180,80,"brown","fair","brown",29,"male","Corellia","Human"
"Wedge Antilles",170,77,"brown","fair","hazel",21,"male","Corellia","Human"
"Palpatine",170,75,"grey","pale","yellow",82,"male","Naboo","Human"
"Boba Fett",183,78.2,"black","fair","brown",31.5,"male","Kamino","Human"
"Bossk",190,113,"none","green","red",53,"male","Trandosha","Trandoshan"
"Lando Calrissian",177,79,"black","dark","brown",31,"male","Socorro","Human"
"Lobot",175,79,"none","light","blue",37,"male","Bespin","Human"
"Ackbar",180,83,"none","brown mottle","orange",41,"male","Mon Cala","Mon Calamari"
"Wicket Systri Warrick",88,20,"brown","brown","brown",8,"male","Endor","Ewok"
"Jar Jar Binks",196,66,"none","orange","orange",52,"male","Naboo","Gungan"
"Darth Maul",175,80,"none","red","yellow",54,"male","Dathomir","Zabrak"
"Ayla Secura",178,55,"none","blue","hazel",48,"female","Ryloth","Twi'lek"
"Mace Windu",188,84,"none","dark","brown",72,"male","Haruun Kal","Human"
"Ki-Adi-Mundi",198,82,"white","pale","yellow",92,"male","Cerea","Cerean"
"Plo Koon",188,80,"none","orange","black",22,"male","Dorin","Kel Dor"
"Luminara Unduli",170,56.2,"black","yellow","blue",58,"female","Mirial","Mirialan"
"Barriss Offee",166,50,"black","yellow","blue",40,"female","Mirial","Mirialan"
"Dooku",193,80,"white","fair","brown",102,"male","Serenno","Human"
"Jango Fett",183,79,"black","tan","brown",66,"male","Concord Dawn","Human"
"Padmé Amidala",165,45,"brown","light","brown",46,"female","Naboo","Human"
